algorithm,data,ourAlgrothm_time,lzma_time,gzip_time,bzip2_time,7zip_time,zip_time
LKE_results,HDFS_0.20,0.00437,0.00091,0.00055,0.00495,0.00473,0.00396
LKE_results,Proxifier_0.20,0.00463,0.00094,0.0005,0.00431,0.00468,0.00398
LKE_results,HDFS_0.50,0.00291,0.00073,0.00043,0.00313,0.00478,0.00392
LKE_results,HDFS_0.90,0.0009,0.0004,0.00021,0.00059,0.00698,0.00385
LKE_results,Linux_0.20,0.00445,0.00067,0.00038,0.00396,0.0047,0.00352
Spell_results,HPC_0.20,0.00518,0.00138,0.00063,0.00481,0.00906,0.00787
Spell_results,HDFS_0.60,0.00872,0.00087,0.00044,0.00217,0.00487,0.00414
Spell_results,HDFS_0.70,0.00259,0.00073,0.00037,0.00179,0.00662,0.00408
Spell_results,Zookeeper_0.10,0.00752,0.00134,0.00082,0.00535,0.00565,0.00441
Spell_results,Linux_0.40,0.00477,0.00083,0.00044,0.00297,0.00491,0.0053
Spell_results,Linux_0.80,0.00432,0.00062,0.00029,0.00114,0.00385,0.00337
Spell_results,HPC_0.30,0.00491,0.00123,0.00055,0.00397,0.00468,0.00367
Spell_results,Hadoop_0.20,0.00752,0.00107,0.00063,0.00278,0.00476,0.00449
Spell_results,Zookeeper_0.60,0.00345,0.00093,0.00048,0.00294,0.00508,0.00381
Spell_results,Zookeeper_0.30,0.00483,0.0012,0.00071,0.00549,0.00531,0.0042
Spell_results,Zookeeper_0.80,0.00188,0.00139,0.0008,0.00352,0.00767,0.00724
Spell_results,HDFS_0.30,0.01332,0.00098,0.00054,0.00409,0.00474,0.00381
Spell_results,Proxifier_0.30,0.00621,0.00144,0.00072,0.00508,0.00505,0.00389
Spell_results,Proxifier_0.40,0.00513,0.00135,0.00065,0.00439,0.00529,0.00368
Spell_results,HPC_0.50,0.00338,0.00218,0.00112,0.00713,0.00785,0.00687
Spell_results,HPC_0.60,0.00564,0.00141,0.00069,0.0037,0.0068,0.00428
Spell_results,Zookeeper_0.90,0.00235,0.00095,0.00039,0.00132,0.00451,0.00392
Spell_results,BGL_0.40,0.00662,0.00126,0.00058,0.00424,0.00557,0.00445
Spell_results,Zookeeper_0.40,0.0056,0.00121,0.00062,0.00448,0.00485,0.00401
Spell_results,HDFS_0.40,0.00483,0.00097,0.00052,0.00371,0.00461,0.00369
Spell_results,HDFS_0.10,0.00683,0.00114,0.00066,0.00516,0.0048,0.00387
Spell_results,Linux_0.70,0.00278,0.00063,0.00029,0.00157,0.00388,0.00342
Spell_results,Hadoop_0.90,0.00099,0.00049,0.00026,0.00066,0.00369,0.00341
Spell_results,BGL_0.50,0.00357,0.00097,0.00044,0.00304,0.00449,0.00365
Spell_results,Proxifier_0.10,0.00908,0.00178,0.00089,0.00599,0.00538,0.00411
Spell_results,Hadoop_0.80,0.00313,0.00063,0.00046,0.00178,0.00462,0.00408
Spell_results,Proxifier_0.90,0.00153,0.00059,0.0003,0.00092,0.00493,0.00344
Spell_results,Zookeeper_0.70,0.00213,0.00079,0.00041,0.00208,0.00525,0.00417
Spell_results,Zookeeper_0.50,0.00346,0.00106,0.00055,0.00371,0.00478,0.0039
Spell_results,Proxifier_0.80,0.00201,0.00072,0.00038,0.00151,0.00411,0.00336
Spell_results,HPC_0.80,0.00154,0.00064,0.00031,0.00148,0.00401,0.0043
Spell_results,BGL_0.10,0.00568,0.00101,0.00048,0.0047,0.00454,0.00388
Spell_results,Hadoop_0.40,0.00603,0.00085,0.00052,0.00163,0.00433,0.00351
Spell_results,HPC_0.90,0.0014,0.00054,0.00026,0.00081,0.00379,0.00317
Spell_results,Hadoop_0.50,0.00354,0.00092,0.00053,0.00349,0.00595,0.0038
Spell_results,Hadoop_0.10,0.00821,0.0011,0.00068,0.00332,0.00558,0.00379
Spell_results,Hadoop_0.30,0.0068,0.00096,0.00058,0.00234,0.00455,0.00365
Spell_results,Linux_0.90,0.00147,0.00055,0.00025,0.00066,0.00391,0.00348
Spell_results,Hadoop_0.70,0.00214,0.00059,0.00035,0.00182,0.0039,0.00346
Spell_results,Proxifier_0.50,0.00435,0.00112,0.00057,0.00362,0.00459,0.00695
Spell_results,Linux_0.10,0.00695,0.0021,0.00118,0.00828,0.00505,0.00447
Spell_results,BGL_0.20,0.00835,0.00098,0.00045,0.00421,0.00536,0.00414
Spell_results,Zookeeper_0.20,0.01456,0.00236,0.00142,0.00876,0.0065,0.00461
Spell_results,Proxifier_0.60,0.0053,0.00105,0.00055,0.00277,0.00457,0.00615
Spell_results,BGL_0.90,0.00128,0.00049,0.00027,0.00076,0.0053,0.00565
Spell_results,Linux_0.50,0.00412,0.00074,0.00041,0.00266,0.00424,0.00348
Spell_results,HPC_0.40,0.00384,0.0011,0.00051,0.00342,0.00493,0.0037
