algorithm,way,sourceSize,matchResultsSize,matchResults_rate,lz4,lz4_rate,gz,gz_rate,bz,bz_rate,7z,7z_rate,zip,zip_rate,double_lz4,double_lz4_rate,double_gz,double_gz_rate,double_bz,double_bz_rate,double_7z,double_7z_rate,double_zip,double_zip_rate
MoLFI_results,HPC_0.10,108977,46646,0.42804,29340,0.26923,15801,0.14499,14278,0.13102,12361,0.11343,15890,0.14581,19438,0.17837,10638,0.09762,9664,0.08868,8422,0.07728,10733,0.09849
MoLFI_results,BGL_0.80,45267,33817,0.74706,8403,0.18563,5308,0.11726,5390,0.11907,4663,0.10301,5397,0.11923,5830,0.12879,3783,0.08357,3959,0.08746,3542,0.07825,3878,0.08567
MoLFI_results,HDFS_0.80,50849,23047,0.45324,15824,0.3112,9976,0.19619,7944,0.15623,8506,0.16728,10065,0.19794,2498,0.04913,1469,0.02889,1179,0.02319,1512,0.02974,1564,0.03076
MoLFI_results,BGL_0.30,111300,62821,0.56443,23539,0.21149,14442,0.12976,13424,0.12061,11777,0.10581,14531,0.13056,10960,0.09847,7383,0.06633,7410,0.06658,6569,0.05902,7478,0.06719
MoLFI_results,HDFS_0.20,208156,85892,0.41263,68472,0.32895,39087,0.18778,30662,0.1473,33341,0.16017,39176,0.18821,7378,0.03544,4229,0.02032,2453,0.01178,4053,0.01947,4324,0.02077
MoLFI_results,Proxifier_0.20,166865,103871,0.62249,25482,0.15271,14842,0.08895,9871,0.05916,12946,0.07758,14931,0.08948,16035,0.0961,9576,0.05739,6322,0.03789,8708,0.05219,9671,0.05796
MoLFI_results,HDFS_0.50,131613,54365,0.41307,44698,0.33962,26037,0.19783,20183,0.15335,21938,0.16669,26126,0.19851,5371,0.04081,2882,0.0219,1866,0.01418,2828,0.02149,2977,0.02262
MoLFI_results,HDFS_0.90,25582,10856,0.42436,8352,0.32648,5248,0.20514,4450,0.17395,4625,0.18079,5337,0.20862,1288,0.05035,836,0.03268,834,0.0326,914,0.03573,931,0.03639
IPLoM_results,HPC_0.20,90256,32740,0.36275,24920,0.2761,13429,0.14879,11959,0.1325,10429,0.11555,13518,0.14977,4388,0.04862,1962,0.02174,1598,0.01771,1935,0.02144,2057,0.02279
IPLoM_results,HDFS_0.60,106287,13660,0.12852,36417,0.34263,21312,0.20051,16654,0.15669,17944,0.16883,21401,0.20135,3108,0.02924,1597,0.01503,1273,0.01198,1639,0.01542,1692,0.01592
